user_id,brand,month,compras,compras_anteriores,compras_futuras
512400833,unknown,2019-10-01,2,0,3.0
512400985,aoc,2019-10-01,2,0,5.0
512400985,apple,2019-10-01,5,0,1.0
512400985,samsung,2019-10-01,1,0,1.0
512401002,oppo,2019-10-01,1,0,1.0
512401084,unknown,2019-10-01,2,0,1.0
512401531,unknown,2019-10-01,2,0,1.0
512401805,unknown,2019-10-01,2,0,1.0
512402349,samsung,2019-10-01,10,0,1.0
512402632,moulinex,2019-10-01,1,0,1.0
512402665,indesit,2019-10-01,1,0,1.0
512402665,lg,2019-10-01,1,0,2.0
512402843,apple,2019-10-01,2,0,5.0
512402884,huawei,2019-10-01,7,0,4.0
512403138,apple,2019-10-01,2,0,2.0
512403241,apple,2019-10-01,3,0,4.0
512403711,samsung,2019-10-01,1,0,1.0
512404018,apple,2019-10-01,2,0,3.0
512404030,unknown,2019-10-01,1,0,2.0
512404058,samsung,2019-10-01,1,0,1.0
512404171,apple,2019-10-01,2,0,1.0
512404248,apple,2019-10-01,10,0,5.0
512404405,vihr,2019-10-01,1,0,1.0
512404405,yato,2019-10-01,4,0,5.0
512404495,xiaomi,2019-10-01,2,0,4.0
512405099,samsung,2019-10-01,3,0,1.0
512405182,apple,2019-10-01,1,0,2.0
512405206,samsung,2019-10-01,1,0,1.0
512405369,cover,2019-10-01,25,0,2.0
512405509,huawei,2019-10-01,2,0,2.0
512405509,lucente,2019-10-01,2,0,1.0
512405509,samsung,2019-10-01,2,0,1.0
512405571,xiaomi,2019-10-01,8,0,1.0
512405575,apple,2019-10-01,1,0,3.0
512405575,samsung,2019-10-01,2,0,2.0
512405575,unknown,2019-10-01,1,0,2.0
512405760,lucente,2019-10-01,1,0,1.0
512405833,apple,2019-10-01,1,0,3.0
512406213,acer,2019-10-01,1,0,1.0
512406252,apple,2019-10-01,2,0,2.0
512406294,xiaomi,2019-10-01,1,0,1.0
512406373,samsung,2019-10-01,2,0,1.0
512406376,apple,2019-10-01,7,0,5.0
512406376,samsung,2019-10-01,1,0,2.0
512406402,huawei,2019-10-01,1,0,1.0
512406463,apple,2019-10-01,3,0,1.0
512406792,apple,2019-10-01,8,0,1.0
512406956,lenovo,2019-10-01,1,0,1.0
512407168,unknown,2019-10-01,3,0,2.0
512407534,apple,2019-10-01,5,0,1.0
512407795,unknown,2019-10-01,1,0,1.0
512407895,huawei,2019-10-01,3,0,1.0
512408222,cordiant,2019-10-01,8,0,4.0
512408254,apple,2019-10-01,2,0,5.0
512408260,apple,2019-10-01,1,0,1.0
512408654,apple,2019-10-01,1,0,2.0
512408783,samsung,2019-10-01,2,0,3.0
512408968,apple,2019-10-01,7,0,13.0
512408968,samsung,2019-10-01,8,0,14.0
512408968,xiaomi,2019-10-01,2,0,2.0
512409016,unknown,2019-10-01,4,0,1.0
512409348,gucci,2019-10-01,1,0,1.0
512409624,apple,2019-10-01,69,0,40.0
512409924,apple,2019-10-01,2,0,1.0
512410077,xiaomi,2019-10-01,1,0,1.0
512410102,nintendo,2019-10-01,8,0,4.0
512410150,samsung,2019-10-01,1,0,1.0
512410254,unknown,2019-10-01,1,0,1.0
512410265,apple,2019-10-01,11,0,6.0
512410282,samsung,2019-10-01,1,0,2.0
512410396,apple,2019-10-01,1,0,2.0
512410396,samsung,2019-10-01,2,0,6.0
512410522,apple,2019-10-01,2,0,5.0
512410620,xiaomi,2019-10-01,1,0,2.0
512410665,samsung,2019-10-01,1,0,1.0
512410719,xiaomi,2019-10-01,1,0,1.0
512410770,samsung,2019-10-01,1,0,1.0
512410787,samsung,2019-10-01,6,0,3.0
512410929,apple,2019-10-01,1,0,1.0
512411061,samsung,2019-10-01,25,0,4.0
512411114,xiaomi,2019-10-01,1,0,2.0
512411441,apple,2019-10-01,1,0,1.0
512411482,samsung,2019-10-01,1,0,1.0
512411670,samsung,2019-10-01,1,0,1.0
512411704,ea,2019-10-01,1,0,1.0
512411803,apple,2019-10-01,2,0,4.0
512411842,samsung,2019-10-01,1,0,1.0
512412240,apple,2019-10-01,1,0,1.0
512412304,samsung,2019-10-01,1,0,5.0
512412385,apple,2019-10-01,26,0,16.0
512412429,vega,2019-10-01,1,0,1.0
512412444,samsung,2019-10-01,1,0,1.0
512412511,oppo,2019-10-01,5,0,2.0
512412511,samsung,2019-10-01,2,0,4.0
512412699,samsung,2019-10-01,1,0,1.0
512413106,apple,2019-10-01,1,0,1.0
512413306,xiaomi,2019-10-01,1,0,2.0
512413530,xiaomi,2019-10-01,1,0,2.0
512413556,apple,2019-10-01,1,0,3.0
512413580,xiaomi,2019-10-01,1,0,1.0
512413617,apple,2019-10-01,3,0,2.0
512413617,fitlux,2019-10-01,1,0,2.0
512413668,apple,2019-10-01,2,0,5.0
512413720,huawei,2019-10-01,1,0,1.0
512414566,orient,2019-10-01,1,0,1.0
512414733,samsung,2019-10-01,3,0,18.0
512414883,michelin,2019-10-01,1,0,1.0
512415175,apple,2019-10-01,3,0,1.0
512415231,samsung,2019-10-01,11,0,7.0
512415320,lucente,2019-10-01,1,0,3.0
512415338,oppo,2019-10-01,1,0,6.0
512415491,samsung,2019-10-01,1,0,1.0
512415830,apple,2019-10-01,7,0,4.0
512416095,apple,2019-10-01,3,0,2.0
512416095,ecocool,2019-10-01,2,0,1.0
512416095,samsung,2019-10-01,17,0,34.0
512416165,apple,2019-10-01,1,0,6.0
512416165,lg,2019-10-01,10,0,1.0
512416245,huawei,2019-10-01,1,0,2.0
512416265,apple,2019-10-01,7,0,5.0
512416265,samsung,2019-10-01,8,0,8.0
512416391,samsung,2019-10-01,4,0,1.0
512416542,elenberg,2019-10-01,6,0,1.0
512416542,samsung,2019-10-01,5,0,6.0
512416680,apple,2019-10-01,8,0,5.0
512416702,samsung,2019-10-01,1,0,1.0
512416785,unknown,2019-10-01,1,0,1.0
512417061,apple,2019-10-01,1,0,3.0
512417226,apple,2019-10-01,1,0,4.0
512417376,apple,2019-10-01,1,0,1.0
512417376,oppo,2019-10-01,3,0,2.0
512417376,samsung,2019-10-01,1,0,2.0
512417553,samsung,2019-10-01,2,0,1.0
512417593,apple,2019-10-01,5,0,3.0
512417593,unknown,2019-10-01,1,0,1.0
